Name,Liver,R-Kidney,Spleen,Pancreas,Aorta,IVC,RAG,LAG,Gallbladder,Esophagus,Stomach,Duodenum,L-Kidney
FLARETs_0031,0.968999982,0.975000024,0.972000003,0.924000025,0.963,0.934000015,0.904999971,,0,0.916999996,0.966000021,0.917999983,
FLARETs_0038,0.977999985,0.981999993,0.975000024,0.904999971,0.968999982,0.855000019,0.856000006,0.834999979,,0.860000014,0.954999983,0.753000021,0.977999985
FLARETs_0022,0.976999998,0.961000025,0.967000008,0.81400001,0.966000021,0.94599998,0.922999978,0.925000012,,0.836000025,0.964999974,0.565999985,0.968999982
FLARETs_0036,0.984000027,0.981000006,0.975000024,0.917999983,0.961000025,0.949999988,0.847000003,0.864000022,,0.901000023,0.964999974,0.894999981,0.972000003
FLARETs_0010,0.985000014,0.975000024,0.981999993,0.92900002,0.91900003,0.859000027,0.885999978,0.866999984,,0.86500001,0.968999982,0.933000028,0.972000003
FLARETs_0020,0.977999985,0.975000024,0.980000019,0.924000025,0.959999979,0.949999988,0.917999983,0.866999984,,0.911000013,0.961000025,0.805999994,0.976999998
FLARETs_0033,0.975000024,0.889999986,0.977999985,0.666000009,0.957000017,0.967000008,0.864000022,0.861000001,,0.883000016,0.94599998,0.813000023,0.962000012
FLARETs_0046,0.977999985,0.968999982,,0.925000012,0.972000003,0.727999985,0.869000018,0.88499999,0.939999998,0.723999977,0.958999991,0.889999986,0.970000029
FLARETs_0032,0.950999975,0.954999983,0.723999977,0.748000026,0.771000028,0.850000024,0.912999988,,,0.624000013,0.810000002,0.824000001,
FLARETs_0021,0.976999998,0.976999998,0.978999972,0.939999998,0.971000016,0.934000015,0.901000023,0.911000013,,0.930999994,0.963999987,0.938000023,0.976999998
,,,,,,,,,,,,,
Class means,0.975459996,0.947062501,0.966714286,0.888400004,0.953020004,0.8938,0.834897955,0.834645837,0.878871792,0.832740004,0.922719996,0.819140001,0.915375
,,,,,,,,,,,,,
Total mean,0.897431062,,,,,,,,,,,,
